model,year,price,type,distance,fuel,tax,miles per galoon,size
0,2019.0,8600.0,1,4920.0,2,145.0,60.1,1.0
9,2019.0,24502.192167643123,2,4956.0,0,145.0,39.2,2.2
2,2018.0,11998.0,1,8337.0,0,145.0,74.3,1.6
8,2018.0,12998.0,1,13655.0,2,145.0,52.3,1.0
10,2019.0,15600.0,1,8000.0,2,150.0,34.9,1.6
1,2019.0,9485.0,1,10758.0,2,145.0,46.3,1.2
10,2017.0,14498.0,1,12811.0,0,150.0,61.7,1.7
9,2013.0,11498.0,2,59701.0,0,265.0,41.5,2.2
10,2016.0,10998.0,1,44268.0,0,30.0,61.7,1.7
10,2019.0,15400.0,1,12254.0,2,150.0,34.9,1.6
10,2017.0,14498.0,2,17754.0,0,125.0,57.6,1.7
10,2017.0,11695.0,1,49174.0,2,145.0,44.8,1.6
10,2016.0,16498.0,0,12163.0,0,200.0,46.3,2.0
1,2016.0,8998.0,0,28560.0,2,160.0,42.2,1.4
9,2015.0,14498.0,1,25770.0,0,200.0,46.3,2.2
0,2014.0,5500.0,1,20127.0,2,20.0,60.1,1.0
10,2016.0,12498.0,1,41953.0,0,30.0,61.7,1.7
10,2016.0,11900.0,1,37692.0,0,30.0,61.7,1.7
0,2016.0,6600.0,1,16751.0,2,30.0,57.6,1.2
2,2018.0,11998.0,1,5404.0,0,145.0,74.3,1.6
3,2016.0,9698.0,1,38259.0,0,30.0,65.7,1.7
2,2016.0,8498.0,1,20251.0,2,125.0,50.4,1.4
10,2017.0,15998.0,2,12150.0,0,145.0,57.6,1.7
7,2018.0,15000.0,0,32227.0,1,135.0,78.5,1.6
8,2019.0,15498.0,1,5630.0,2,145.0,44.1,1.0
2,2015.0,6498.0,1,40237.0,0,0.0,78.4,1.6
8,2018.0,12998.0,1,11458.0,2,145.0,52.3,1.0
10,2017.0,12000.0,1,2236.0,2,160.0,44.8,1.6
10,2017.0,13498.0,1,5863.0,2,160.0,44.8,1.6
8,2018.0,12995.0,1,7359.0,2,145.0,52.3,1.0
10,2017.0,14498.0,1,9146.0,0,150.0,61.7,1.7
10,2017.0,15698.0,2,7015.0,0,145.0,57.6,1.7
10,2018.0,14498.0,1,23513.0,2,145.0,34.9,1.6
10,2019.0,15498.0,1,15751.0,2,150.0,34.9,1.6
